goos: darwin
goarch: arm64
pkg: github.com/anz-bank/decimal
cpu: Apple M1 Pro
BenchmarkDecimal64String-8    	24866568	        46.04 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String-8    	25818018	        47.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String-8    	26151126	        46.64 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String-8    	24740800	        46.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String-8    	25996720	        47.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String-8    	25283628	        46.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String-8    	26061744	        47.64 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String-8    	25423009	        46.95 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String-8    	25310203	        47.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String-8    	26216041	        47.10 ns/op	      16 B/op	       1 allocs/op
BenchmarkDecimal64String2-8   	31639068	        38.04 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64String2-8   	32004409	        38.59 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64String2-8   	31100403	        37.97 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64String2-8   	32227922	        38.97 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64String2-8   	32394054	        38.78 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64String2-8   	31065883	        38.17 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64String2-8   	31608926	        38.88 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64String2-8   	31284964	        37.92 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64String2-8   	31850161	        40.04 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64String2-8   	30788538	        38.74 ns/op	      13 B/op	       0 allocs/op
BenchmarkDecimal64Format-8    	 9949312	       117.3 ns/op	      56 B/op	       3 allocs/op
BenchmarkDecimal64Format-8    	10499992	       117.7 ns/op	      56 B/op	       3 allocs/op
BenchmarkDecimal64Format-8    	10114834	       116.1 ns/op	      56 B/op	       3 allocs/op
BenchmarkDecimal64Format-8    	10209123	       118.8 ns/op	      56 B/op	       3 allocs/op
BenchmarkDecimal64Format-8    	10388728	       117.3 ns/op	      56 B/op	       3 allocs/op
BenchmarkDecimal64Format-8    	10206924	       124.6 ns/op	      56 B/op	       3 allocs/op
BenchmarkDecimal64Format-8    	10478934	       121.8 ns/op	      56 B/op	       3 allocs/op
BenchmarkDecimal64Format-8    	10027310	       117.5 ns/op	      56 B/op	       3 allocs/op
BenchmarkDecimal64Format-8    	 9970320	       116.9 ns/op	      56 B/op	       3 allocs/op
